name,wishlist_bucket,median_playtime_hours,pct_earned_first_achievement,pct_earned_second_achievement,pct_earned_final_achievement,note
Ashfall Reach,top-100,31.5,92.1,44.0,6.3,systems tutorial runs 90 minutes
Harrow Line,top-100,6.2,95.4,81.2,38.7,"no tutorial, first fight at 4 minutes"
Verdant Sump,top-250,44.0,88.7,22.3,1.9,crafting tree gated behind a lecture
Tallow & Ash,top-250,9.8,93.0,76.5,31.2,
The Quiet Fathom,top-500,28.4,90.2,68.9,24.6,thirty hours and still finished
Copperhead Junction,top-100,5.5,96.1,39.4,7.8,menu-heavy opening
Sable Meridian,top-250,33.1,89.5,71.0,27.4,
Nine Lanterns,top-500,4.9,97.2,88.1,52.3,shortest and most finished
Gravemount,top-100,22.7,91.8,35.2,5.6,loadout screen before the first room
Little Fenwick,top-500,7.1,94.6,79.8,35.9,
Oathbound Static,top-250,38.9,87.4,65.3,19.8,
Mercy Kilometre,top-500,11.2,92.9,41.7,9.3,difficulty spike at hour two
